Item ID,Food Item,Category,Cafeteria Price (₹),Market Price (₹)
1,Veg Sandwich,Snacks,37,26
2,Cheese Corn Sandwich,Snacks,58,44
3,Masala Maggie,Snacks,42,30
4,Stuffed Paratha (Mixed),Breakfast,48,36
5,Egg Roll,Breakfast,55,42
6,Ginger Tea (250ml),Beverages,15,10
7,Cold Coffee (250ml),Beverages,35,26
8,Soft Drink (500ml),Beverages,45,32
9,Samosa (1 pc),Snacks,16,11
10,Veg Burger,Snacks,58,43
11,Cheese Burger,Snacks,72,52
12,Veg Fried Rice,Main Course,85,65
13,Full Veg Thali,Main Course,120,90
14,Kadhai Paneer,Main Course,135,110
15,Rajma Chawal,Main Course,75,55
16,Peri Peri Fries,Snacks,70,50
17,Veg Momos (6 pcs),Snacks,65,42
18,Pasta (Mix Sauce),Snacks,100,75
19,Fresh Orange Juice (300ml),Beverages,55,38
20,Bottled Water (1L),Beverages,20,17
